date,n1,n2,n3,n4,n5,e1,e2
2014-01-21,4,42,35,48,12,5,8
2014-01-24,19,41,35,34,5,1,5
2014-01-28,18,23,48,20,42,2,9
2014-01-31,10,15,31,8,16,8,9
2014-02-04,37,1,33,21,38,8,4
2014-02-07,17,19,47,3,46,9,10
2014-02-11,47,25,8,17,41,1,2
2014-02-14,19,39,4,2,6,2,7
2014-02-18,36,37,26,23,49,6,7
2014-02-21,28,13,17,30,32,5,7
2014-02-25,42,21,25,28,35,6,4
2014-02-28,38,44,32,12,43,2,7
2014-03-04,3,22,5,27,44,6,1
2014-03-07,38,10,40,5,41,1,8
2014-03-11,1,4,44,33,23,8,7
2014-03-14,30,24,6,27,25,9,5
2014-03-18,27,36,34,8,39,5,10
2014-03-21,37,7,39,30,42,7,5
2014-03-25,28,50,26,7,20,8,2
2014-03-28,3,43,19,28,4,3,7
2014-04-01,44,38,18,16,26,10,8
2014-04-04,50,45,28,6,10,10,11
2014-04-08,42,11,29,18,49,11,4
2014-04-11,8,33,30,12,19,4,11
2014-04-15,14,50,47,26,3,7,11
2014-04-18,21,47,31,39,24,3,7
2014-04-22,20,46,15,24,13,8,1
2014-04-25,13,49,44,21,24,9,1
2014-04-29,35,26,18,23,44,3,11
2014-05-02,30,42,4,31,38,11,2
2014-05-06,37,5,19,31,24,9,1
2014-05-09,45,28,3,26,21,10,7
2014-05-13,47,34,13,30,4,6,2
2014-05-16,26,23,37,29,40,4,3
2014-05-20,38,5,36,33,47,4,9
2014-05-23,31,3,47,8,34,11,9
2014-05-27,16,13,26,25,7,1,6
2014-05-30,27,41,24,45,5,7,6
2014-06-03,2,39,32,15,44,5,10
2014-06-06,34,40,25,7,49,9,11
2014-06-10,12,18,21,33,32,1,11
2014-06-13,16,22,28,46,18,11,9
2014-06-17,48,13,37,40,11,8,9
2014-06-20,5,38,49,15,25,1,2
2014-06-24,20,1,7,21,48,4,7
2014-06-27,39,34,45,33,31,2,10
2014-07-01,39,25,18,22,27,5,10
2014-07-04,47,18,43,39,4,6,2
2014-07-08,24,18,22,8,27,11,4
2014-07-11,38,35,5,49,22,7,4
2014-07-15,18,27,15,34,20,1,3
2014-07-18,1,41,43,11,29,3,11
2014-07-22,1,43,50,45,24,5,8
2014-07-25,10,24,9,12,43,5,9
2014-07-29,40,23,35,10,43,9,3
2014-08-01,50,44,46,48,24,10,5
2014-08-05,5,21,42,7,19,11,5
