date,n1,n2,n3,n4,n5,e1,e2,pos_sun,pos_moon,pos_merc,pos_ven,pos_mars,pos_jup,pos_sat,moon_illum
2022-06-17,21,22,38,19,31,7,11,85.51080959342843,301.10264547465437,62.562482267928715,52.538791133245454,16.65443421848611,5.695156692140912,324.8217566622022,0.9052200692599615
2022-06-21,23,36,39,6,47,10,8,89.3282931732229,357.6941472199127,66.89776110748505,57.287337596054364,19.548761317771167,6.168433513106503,324.7310400089964,0.5143119417940039
2022-06-24,50,44,17,10,28,12,8,92.19085620269749,35.88054605796101,70.77004679923525,60.856423345740865,21.70713076283206,6.49677904430729,324.6468238314357,0.22324839976152067
2022-06-28,35,10,47,42,48,11,2,96.00702034464155,83.83173698091542,76.7246141736079,65.62476394203708,24.56648270679399,6.897490352742653,324.5135409073687,0.011894130298475913
2022-07-01,46,6,34,24,18,12,3,98.86860016355674,119.362223689063,81.75996624597396,69.20777561345032,26.69590675857298,7.169206383496305,324.3983614330184,0.0338041699977204
2022-07-05,7,25,48,45,10,3,6,102.68314293513185,167.91415753668235,89.17317028151149,73.99370243703184,29.513412182214243,7.4917401894448155,324.2254456682324,0.29268071883383373
2022-07-08,28,46,43,35,31,7,4,105.54329509789213,206.7312865380022,95.17944302156947,77.58942091519081,31.609327505190063,7.703032139380836,324.0820047388024,0.5982276596367047
2022-07-12,50,18,25,24,14,11,6,109.35610158260327,264.0079501743392,103.59446925213976,82.3922266757013,34.37996529384593,7.942959339188235,323.8736297920872,0.9520589482859679
2022-07-15,38,17,29,9,39,10,7,112.21585866051734,309.6619127887566,110.04473237319752,86.00111156967749,36.4394219220253,8.09092706522847,323.70535858788946,0.9752640621916185
2022-07-19,41,6,27,40,23,2,12,116.03052950194572,6.820459809286679,118.59009271786299,90.82260276484288,39.15924757873187,8.244558288855304,323.46626128575997,0.6640377525874648
2022-07-22,32,29,50,18,16,11,4,118.89353762627654,44.991385881189856,124.83226089928161,94.4460763716621,41.177998321967614,8.326308054425793,323.2768020733639,0.361171177829109
2022-07-26,3,5,17,27,25,9,1,122.71394879206356,92.69206043997005,132.8229749763932,99.28692048457101,43.83885339713901,8.389782193705047,323.012201648102,0.06797697601552072
2022-07-29,38,48,43,23,3,8,3,125.58152506435411,128.37727690795887,138.53332976501926,102.9244339696337,45.809602561248575,8.402850773098253,322.8059226013218,0.002504201619364488
2022-08-02,28,48,18,40,7,11,8,129.40779484735705,177.53385924617803,145.7568609648301,107.78323124603132,48.40160552611913,8.373995851513511,322.52227995308493,0.16896267326731446
2022-08-05,29,3,44,33,35,10,8,132.27945206755027,216.4735854903756,150.88387247717984,111.43367656703103,50.31731824508578,8.317744492402745,322.304412523554,0.45136738194929155
2022-08-09,47,18,21,19,27,11,5,136.11093627300488,272.98524831257527,157.3385412986387,116.3092868146106,52.832001600076524,8.197118088541888,322.0090412726656,0.8655151068198428
2022-08-12,14,42,35,17,34,10,6,138.98698542977198,318.0486702880691,161.8950391113748,119.97245672221523,54.68712601669261,8.072949470160706,321.78515476413946,0.9980643245471923
2022-08-16,10,25,14,39,32,7,8,142.82627852485297,15.237593988447573,167.58431852928874,124.86578576262505,57.117072902545516,7.863320815663971,321.4853394043223,0.8049237329039179
2022-08-19,9,2,19,38,13,2,6,145.7099991555295,53.54693985308115,171.54809924147798,128.54277027875955,58.90453536678531,7.673762854953645,321.2607756898532,0.5186688735074045
2022-08-23,48,39,26,19,31,2,3,149.56120907599922,101.2723891775445,176.390388816716,133.4545227374587,61.237013495727105,7.379389576759016,320.96371558714014,0.16848133962596262
2022-08-26,22,23,44,25,38,12,11,152.45433221039582,137.21379396054036,179.64725124760636,137.14482839412392,62.945296012714174,7.12878456955955,320.74407274382406,0.019146597423808587
2022-08-30,6,10,4,15,19,1,4,156.31787948474482,187.30312323557322,183.39510084089693,142.0732776000825,65.16384422497948,6.757489240698898,320.45745694777384,0.07337737652328064
2022-09-02,7,45,12,20,13,3,12,159.21978829568883,226.83318492936883,185.66734164207003,145.77518519053996,66.78044589859596,6.453306595579995,320.2485426301172,0.3119601762826566
2022-09-06,10,44,7,29,22,4,5,163.09434946875308,282.8548756409154,187.79316791556693,150.7179320971328,68.86882270163349,6.017078169701629,319.9799513735208,0.7495481577745479
2022-09-09,26,17,23,24,27,4,9,166.004483676885,326.8174970801317,188.54936577518683,154.4300129823844,70.38207796916689,5.6695721911045025,319.78715094991514,0.970635534243917
2022-09-13,40,9,12,15,47,1,11,169.89127997065125,23.245476862205795,188.18548644690262,159.38628147026506,72.32422696131214,5.183115254819876,319.54316566328754,0.9178742668272002
2022-09-16,49,10,45,36,27,3,4,172.81211465553974,61.59927808642328,186.7590126770895,163.10867297261169,73.71993130007425,4.8037917310535345,319.3710052674621,0.6811571446102367
2022-09-20,21,11,32,48,23,12,3,176.71487445857267,109.45306234397398,183.41217211456805,168.07856347500044,75.49223801215697,4.283282239874534,319.15737796225824,0.3081876037548661
2022-09-23,22,35,48,15,14,8,3,179.64825881380386,145.62373979938135,180.23468652102238,171.81065627708682,76.74950311923386,3.885229427139849,319.0100807512951,0.08731289065112402
2022-09-27,34,4,44,20,21,3,1,183.56757213186535,196.7639820988312,176.26817408152854,176.79231021203074,78.32151241963123,3.349550866844816,318.8322698087416,0.01395719898406661
2022-09-30,2,16,11,1,26,3,12,186.51273368046202,237.35403697007774,174.37839315216365,180.53212214713,79.41649559568677,2.947835874595101,318.71368740928267,0.18597968491317185
2022-10-04,3,28,18,43,42,12,3,190.44650978753668,293.54108733407753,174.11738222758882,185.52248137632512,80.75626489844653,2.4177913964227717,318.5763144591202,0.6155171926880367
2022-10-07,50,27,45,26,42,12,1,193.4018909575597,336.3238635203834,175.68286762302952,189.26786772495473,81.66535999661933,2.0280320050874687,318.48938505550456,0.898370758877477
2022-10-11,40,35,8,32,23,8,1,197.34969804012184,31.301916012198646,179.69862010238123,194.26512765475192,82.74064535225799,1.5236084412109876,318.39557029153434,0.9853173206621972
2022-10-14,28,48,29,24,34,7,3,200.3166321767446,69.41760119250904,183.73352278821133,198.01569500086927,83.43711532448724,1.1598847211858188,318.34214847502955,0.8275930650054957
2022-10-18,42,3,5,48,13,6,1,204.2812591236898,117.3358215000238,189.90747460273005,203.0199018301264,84.20717649322009,0.6988746596732596,318.29401161673906,0.4745442568869493
2022-10-21,26,28,38,25,40,1,6,207.26136720236144,153.58168229473492,194.84867171747317,206.77546657589804,84.65751764845547,0.3740549788107797,318.27553041515176,0.20589176286739735
2022-10-25,24,7,46,34,39,6,1,211.24339454758115,205.5275552926609,201.58776005974,211.7856408516309,85.07677984260704,359.97302195362994,318.2747328634949,0.0027265298405145244
2022-10-28,28,35,21,16,14,11,1,214.23579143982693,247.4320942031632,206.65423751663647,215.5448760921208,85.24848541124572,359.6989114562293,318.292168759804,0.08218595596565026
2022-11-01,42,48,19,37,47,6,1,218.23245036678253,304.5926750239574,213.35043530349162,220.55855020171794,85.27970960399696,359.37234942596945,318.3394991891231,0.47054862140920944
2022-11-04,11,2,37,47,45,2,3,221.23457294179036,346.5448373851591,218.30661436766962,224.31944401741114,85.15169231754177,359.15846284804996,318.39294775019135,0.7899241578173328
2022-11-08,50,32,33,5,3,1,8,225.2436434866721,39.80926399007317,224.81938127319123,229.3347051961413,84.77662031298313,358.9167285723457,318.4878610079931,0.9977647678888608
2022-11-11,25,2,19,44,24,2,10,228.25549283578107,77.37811806496639,229.63609941554373,233.0968306659953,84.34197367861974,358.76912864620436,318.5765672338669,0.9364419414621519
2022-11-15,31,21,13,24,33,1,12,232.2784657342874,125.22183887892112,235.97944738108,238.11409374250562,83.56196560239475,358.61862832755753,318.71788260671264,0.646852611912677
2022-11-18,41,13,35,19,16,11,1,235.3011637204322,161.37220861621395,240.68711632431481,241.87790901182544,82.8332727550998,358.5412363593884,318.8409086865292,0.3633821926874916
2022-11-22,24,29,42,21,22,3,11,239.3384512059146,213.5499509095167,246.91073713184338,246.89738609715266,81.68706539290825,358.48621158740207,319.0272570769756,0.05022885570625202
2022-11-25,21,19,39,35,37,2,6,242.37111270528737,256.5726364221766,251.54568412070586,250.66252473134068,80.71366653773596,358.48145473328435,319.18341908830865,0.015735102742647056
2022-11-29,20,38,35,15,24,12,8,246.41961186540237,315.3173819971558,257.6872981923699,255.68275202106602,79.29771245173237,358.523951979476,319.412870984918,0.32142249993566196
2022-12-02,39,12,35,21,45,11,6,249.45890707527283,357.0624772077582,262.2629826604031,259.4475173369519,78.17417382542943,358.59221008607153,319.6003584176394,0.6530229100141032
2022-12-06,20,25,27,26,12,8,12,253.51476756569403,48.88593781154518,268.30770448275183,264.4663998275008,76.63605379361596,358.730967226321,319.87004275931537,0.954861236448872
2022-12-09,8,46,31,27,50,3,1,256.5593812513067,85.75613559384222,272.77412774442354,268.23002466685114,75.48124803366312,358.8701989514448,320.0865335739304,0.9926472570273608
2022-12-13,30,3,12,26,9,10,11,260.6227427502933,133.43954662268308,278.5673338937829,273.24766608731045,73.98135309858559,359.1017289648671,320.3933849935875,0.8012791623056588
2022-12-16,2,15,44,35,19,7,2,263.67323300725417,169.46238344662416,282.7010400290987,277.0105978799387,72.91311695946187,359.30907830449945,320.63664538597016,0.5378643792470625
2022-12-20,1,20,11,17,27,4,5,267.7443378608695,221.30891681249886,287.7021758397543,282.0274713750306,71.59999046898878,359.62938629607186,320.97770220717297,0.15570740457602056
2022-12-23,16,17,26,23,35,5,11,270.80001188005315,264.76882087102587,290.81328674930285,285.78967710729023,70.71969611992752,359.90170624198925,321.24545775612006,0.0036541447912151748
2022-12-27,33,31,19,34,43,5,3,274.875995450773,325.0745094933381,293.53547029190037,290.8046642392954,69.71059837586783,0.30622351807714876,321.6174745781207,0.18095847381519536
2022-12-30,48,42,17,34,47,1,9,277.9332863648572,7.234961068172656,294.0095948576884,294.56432067208704,69.08924547741067,0.6395571773858553,321.90703385325503,0.4956937598848719
2023-01-03,20,29,21,46,45,10,3,282.0092370922174,58.28405539852096,291.9880340266745,299.5744059927344,68.45065291232417,1.1221129087637443,322.30612399490747,0.8621071877087462
2023-01-06,44,16,35,45,31,12,4,285.065783337653,94.54535563249567,288.6687282530812,303.3296753361063,68.11578182982409,1.5113942991083447,322.61452519354657,0.9903824661365258
2023-01-10,42,11,34,13,40,10,3,289.140741305761,142.11239266841454,283.39480604068,308.3335275153041,67.859365205312,2.065244588157523,323.0369012399986,0.9179473193414915
2023-01-13,13,4,33,25,37,10,5,292.19670085908166,178.1799912523858,280.17839090867557,312.08397339225564,67.80616174095938,2.5056507343673373,323.3614389774623,0.7042065597908818
2023-01-17,18,46,30,50,21,2,6,296.2709618368364,229.5685715823561,277.9953852009643,317.08120384497795,67.91370533895856,3.1246940539708787,323.80358462584894,0.3024802024421114
2023-01-20,40,6,13,42,3,7,11,299.3260963791684,272.6851079461313,277.96319183687075,320.8264046333547,68.12282520171142,3.6118412052789783,324.14162200565596,0.053467775178451304
2023-01-24,11,27,47,41,43,7,11,303.3976870298425,333.68670234377646,279.6171713704095,325.8156100062556,68.56428772926948,4.290279002718913,324.59987811320786,0.0697972354133442
2023-01-27,15,19,31,8,9,12,10,306.44888643384957,16.52816352677562,281.7965500771182,329.55340330341585,69.01051872199386,4.81959209401579,324.94846965183496,0.33123639226491597
2023-01-31,7,12,33,43,19,3,7,310.51273733442116,67.53812652765413,285.57440319585606,334.5304828362005,69.74749094838438,5.550832720314263,325.4186991257661,0.7283761397431932
2023-02-03,14,32,45,2,17,10,3,313.55708439377196,103.46117922767395,288.88335018799415,338.2577578680014,70.3985686678062,6.117207135295212,325.7747606471672,0.9314286075455156
2023-02-07,8,47,34,44,2,9,3,317.61156914031676,151.06040524287255,293.7571429918329,343.21955387382707,71.38651813893661,6.8947324489087825,326.2530761834001,0.9846692820225352
2023-02-10,3,13,36,25,47,3,8,320.6490851782455,187.4719866009799,297.6840293366747,346.9346988695835,72.21033835822422,7.493657998812936,326.61385714024425,0.8424914339687865
2023-02-14,43,24,46,26,38,2,3,324.6948797013531,238.82454857382348,303.21356903864864,351.8796560405771,73.41003386153808,8.31191753050723,327.09670901286296,0.4649080648390483
2023-02-17,42,27,45,23,8,1,9,327.7260348683309,281.248914996689,307.55329124551776,355.58172538289756,74.38034101075526,8.939500294424725,327.4595629025978,0.15551092130251387
2023-02-21,49,41,22,34,21,2,7,331.7625727287402,341.6696141438726,313.5742118331596,0.5082308711670966,75.76109077847484,9.793432039223841,327.94329800281866,0.008978621476497861
2023-02-24,42,34,7,23,48,1,3,334.78532000426,24.86633071760364,318.2597206833667,4.1950476581979705,76.85715355509751,10.445719593609146,328.3053063237598,0.1807232595052608
2023-02-28,29,33,12,37,47,10,5,338.8083097630366,76.26411950389121,324.73396446315684,9.0985636649086,78.3919550251816,11.329671688878335,328.7858697063036,0.5666915570454516
2023-03-03,24,3,8,50,6,10,11,341.8197424976939,112.14439298412496,329.76483562249706,12.766163193594544,79.59324405191144,12.002328870220179,329.14404315850203,0.8229856139563281
2023-03-07,50,24,35,13,11,6,11,345.8273266324584,159.9264494380301,336.7172948231159,17.641980237401963,81.25550811624619,12.910836951870662,329.61769985190296,0.9961192199808955
2023-03-10,9,16,48,37,38,7,2,348.8275092274366,196.95596082193632,342.1227538818126,21.287612865388017,82.54384618596823,13.600138365883826,329.9694118566579,0.9408895854091744
2023-03-14,26,46,28,31,16,12,11,352.82093148689864,248.99246501712312,349.59050227462427,26.132957684351606,84.31247298612833,14.528681092463378,330.43278350424464,0.6207939585164366
2023-03-17,37,5,26,15,49,8,11,355.81116437423066,290.9568210829082,355.38024980483533,29.755069192893348,85.67451103862268,15.231482564607193,330.7755137811731,0.28808539430790614
2023-03-21,29,1,9,32,20,3,2,359.79147991402357,349.9054055775101,3.3107137372399786,34.568006586105334,87.53483574131816,16.175954618693762,331.22510934511934,0.008080632679566435
2023-03-24,36,25,5,46,12,10,6,2.771094352422449,32.71779558585609,9.35130470903296,38.16439887353239,88.96111677634431,16.889000247894057,331.55606938032054,0.06782199237164649
2023-03-28,21,16,34,36,44,9,10,6.7354296189635185,84.40737336183756,17.352389992150915,42.94002536953347,90.90067556245435,17.844676954949396,331.9880424440557,0.3957361006907536
2023-03-31,28,34,47,16,18,10,5,9.70199384337176,120.4099171926112,23.1311593578868,46.505809833480534,92.38128935071248,18.56431733149001,332.30442579766327,0.6773885762067472
2023-04-04,50,33,16,31,10,3,8,13.64858201374192,168.42026928547105,30.21155186643586,51.237296577698324,94.3868126750847,19.526594666089746,332.7153041741813,0.9519244168555401
2023-04-07,26,28,46,5,36,12,6,16.602219909189625,206.17918288190793,34.83131348393767,54.76774654097088,95.91261581757847,20.249698636322943,333.01469103578967,0.9928561558774276
2023-04-11,19,16,14,29,10,2,10,20.532773400756255,259.5644796851108,39.809709466543794,59.44955656101265,97.97370631331762,21.214792984392272,333.4013840670223,0.757700812446475
2023-04-14,44,4,37,49,11,7,6,23.47552679927783,301.6349165307283,42.53788748231874,62.94112270606971,99.53846660535612,21.938726472258427,333.6814709469385,0.4304223430896987
2023-04-18,37,21,17,35,23,11,10,27.39262053853454,358.9928113732029,44.737631845343536,67.56892145801288,101.64888732448657,22.90313393995255,334.04077342403076,0.060651261327964834
2023-04-21,18,8,7,42,33,8,2,30.32520407171419,40.76196326876135,45.29808162240621,71.0176961530962,103.24887893599353,23.625036894623754,334.29900261744626,0.008524832054921105
2023-04-25,29,45,40,10,30,12,1,34.227598465689965,92.25647810938067,44.69096798379486,75.58378632699308,105.40344043210347,24.58451685380513,334.62743470409134,0.2378724511955307
